,distance,wlen,tslen,duration
0,LTNormalizedEuclidean,100,1000200,8013.564420700073
0,NormalizedEuclidean,100,1000200,5547.525361299515
0,NormalizedEuclidean,100,50200,3.4707212448120117
0,LTNormalizedEuclidean,100,50200,3.6741867065429688
0,NormalizedEuclidean,100,500200,1185.2013359069824
0,LTNormalizedEuclidean,100,500200,1332.8944733142853
0,NormalizedEuclidean,100,500200,1202.8497440814972
0,LTNormalizedEuclidean,100,500200,1259.9995925426483
0,LTNormalizedEuclidean,100,50200,3.775282144546509
0,NormalizedEuclidean,100,50200,3.3506908416748047
0,LTNormalizedEuclidean,100,50200,3.621716260910034
0,NormalizedEuclidean,100,50200,3.8499677181243896
0,NormalizedEuclidean,100,1000200,5433.1793694496155
0,LTNormalizedEuclidean,100,1000200,6605.858867883682
0,NormalizedEuclidean,100,50200,3.4996337890625
0,LTNormalizedEuclidean,100,50200,3.6962544918060303
0,NormalizedEuclidean,100,500200,1184.229383945465
0,LTNormalizedEuclidean,100,500200,1242.3753163814545
0,NormalizedEuclidean,100,100200,16.665687561035156
0,LTNormalizedEuclidean,100,100200,17.911482572555542
0,NormalizedEuclidean,100,1000200,5199.919523239136
0,LTNormalizedEuclidean,100,1000200,6290.3039429187775
0,LTNormalizedEuclidean,100,500200,1297.3117055892944
0,NormalizedEuclidean,100,500200,1114.521074771881
0,NormalizedEuclidean,100,100200,16.329473733901978
0,LTNormalizedEuclidean,100,100200,17.77884316444397
0,LTNormalizedEuclidean,100,1000200,6313.631592512131
0,NormalizedEuclidean,100,1000200,5837.889122962952
0,NormalizedEuclidean,100,50200,3.39400315284729
0,LTNormalizedEuclidean,100,50200,3.588527202606201
0,LTNormalizedEuclidean,100,100200,18.62044405937195
0,NormalizedEuclidean,100,100200,16.369386911392212
0,NormalizedEuclidean,100,1000200,5467.991582393646
0,LTNormalizedEuclidean,100,1000200,6420.928436040878
0,NormalizedEuclidean,100,100200,16.772823333740234
0,LTNormalizedEuclidean,100,100200,17.980246782302856
0,NormalizedEuclidean,100,50200,3.3468637466430664
0,LTNormalizedEuclidean,100,50200,3.6677019596099854
0,NormalizedEuclidean,100,50200,3.2709591388702393
0,LTNormalizedEuclidean,100,50200,3.5782415866851807
0,NormalizedEuclidean,100,1000200,5535.046628475189
0,LTNormalizedEuclidean,100,1000200,6304.891515493393
0,NormalizedEuclidean,100,100200,15.44934368133545
0,LTNormalizedEuclidean,100,100200,18.128981113433838
0,NormalizedEuclidean,100,500200,1070.448041677475
0,LTNormalizedEuclidean,100,500200,1233.7456221580505
0,LTNormalizedEuclidean,100,10200,0.3262605667114258
0,NormalizedEuclidean,100,10200,0.3080570697784424
0,NormalizedEuclidean,100,100200,16.39057207107544
0,LTNormalizedEuclidean,100,100200,18.439724922180176
0,LTNormalizedEuclidean,100,10200,0.20310091972351074
0,NormalizedEuclidean,100,10200,0.19295740127563477
0,LTNormalizedEuclidean,100,100200,17.3505916595459
0,NormalizedEuclidean,100,100200,16.398427963256836
0,LTNormalizedEuclidean,100,50200,3.6644201278686523
0,NormalizedEuclidean,100,50200,3.289522409439087
0,LTNormalizedEuclidean,100,100200,17.948724031448364
0,NormalizedEuclidean,100,100200,16.442928791046143
0,NormalizedEuclidean,100,10200,0.18412089347839355
0,LTNormalizedEuclidean,100,10200,0.19720053672790527
0,LTNormalizedEuclidean,100,10200,0.23661041259765625
0,NormalizedEuclidean,100,10200,0.18719720840454102
0,NormalizedEuclidean,100,10200,0.186509370803833
0,LTNormalizedEuclidean,100,10200,0.20607829093933105
0,NormalizedEuclidean,100,500200,1037.6425042152405
0,LTNormalizedEuclidean,100,500200,1263.69677734375
0,NormalizedEuclidean,100,10200,0.18093252182006836
0,LTNormalizedEuclidean,100,10200,0.20595765113830566
0,NormalizedEuclidean,100,1000200,5242.411835670471
0,LTNormalizedEuclidean,100,1000200,6377.019915103912
0,LTNormalizedEuclidean,100,50200,3.889937162399292
0,NormalizedEuclidean,100,50200,3.374464988708496
0,LTNormalizedEuclidean,100,100200,17.792935609817505
0,NormalizedEuclidean,100,100200,16.646096229553223
0,NormalizedEuclidean,100,50200,3.3840060234069824
0,LTNormalizedEuclidean,100,50200,3.7933919429779053
0,NormalizedEuclidean,100,10200,0.1827993392944336
0,LTNormalizedEuclidean,100,10200,0.2408149242401123
0,LTNormalizedEuclidean,100,500200,2170.8772349357605
0,NormalizedEuclidean,100,500200,2035.2877523899078
0,LTNormalizedEuclidean,100,1000200,8200.81376338005
0,NormalizedEuclidean,100,1000200,5596.9518258571625
0,NormalizedEuclidean,100,500200,1159.7402784824371
0,LTNormalizedEuclidean,100,500200,1339.906352519989
0,LTNormalizedEuclidean,100,10200,0.3549611568450928
0,NormalizedEuclidean,100,10200,0.1851949691772461
0,NormalizedEuclidean,100,10200,0.18342113494873047
0,LTNormalizedEuclidean,100,10200,0.1971888542175293
0,NormalizedEuclidean,100,100200,15.612548828125
0,LTNormalizedEuclidean,100,100200,18.91782236099243
0,NormalizedEuclidean,100,500200,1123.355159521103
0,LTNormalizedEuclidean,100,500200,1279.633385181427
0,LTNormalizedEuclidean,100,500200,1327.9451787471771
0,NormalizedEuclidean,100,500200,1138.590532541275
0,LTNormalizedEuclidean,100,10200,0.33194518089294434
0,NormalizedEuclidean,100,10200,0.18617677688598633
0,LTNormalizedEuclidean,100,1000200,6434.485002756119
0,NormalizedEuclidean,100,1000200,5444.104315042496
0,LTNormalizedEuclidean,100,1000200,6519.126096963882
0,NormalizedEuclidean,100,1000200,5736.064338922501
